Code,Family,Category,Compliance,Relevant Form / Document (best effort),Due Date,Statutory Reference,Penalty,Dependency,Existing/New
IN-EPF-EMPLOYEE-ENROLMENT,PF and ESIC,LABOUR,EPF member enrolment — new employee,UAN / Member Registration,Event-based — complete on joining / before inclusion in the first applicable ECR,"EPF Scheme, 1952 and EPFO UAN / member-enrolment process","Omission can lead to contribution arrears, interest, damages and employee-service issues.",ESIC / EPF Code,New
IN-EPF-UAN-GENERATION,PF and ESIC,LABOUR,UAN generation / allotment for eligible employee,UAN facility,Event-based — complete on joining / before the first applicable ECR where a UAN does not already exist,EPFO UAN / member-registration requirements under the EPF Scheme,Delay can cause ECR / KYC / benefit-processing issues and contribution reconciliation problems.,ESIC / EPF Code,New
IN-EPF-FORM11,PF and ESIC,LABOUR,Form 11 — employee declaration of previous EPF / UAN details,Form 11,Event-based — obtain at the time of joining before completing PF enrolment,"EPF Scheme, 1952 / EPFO Form 11 requirements",Incorrect or missing declaration can create duplicate UANs and contribution / service-history issues.,ESIC / EPF Code,New
IN-EPF-EMPLOYEE-KYC,PF and ESIC,LABOUR,EPF member KYC — onboarding and verification,UAN / Member Portal,Event-based — complete during onboarding and update when KYC particulars change,EPFO UAN / KYC requirements,"Incomplete KYC can restrict online claims, transfers and other member services.",ESIC / EPF Code,New
IN-EPF-EMPLOYEE-EXIT,PF and ESIC,LABOUR,EPF member date of exit — update,Date of Exit update on EPFO portal,Event-based — update promptly after cessation of employment and before claim / transfer processing,EPFO member-service / employer portal requirements,"Delay can obstruct transfer, withdrawal and pension-related processing.",ESIC / EPF Code,New
IN-EPF-UAN-PROFILE-CORRECTION,PF and ESIC,LABOUR,UAN member profile — correction / update,Online Member Profile Update,Event-based — submit when an error or change is identified,EPFO member profile / joint declaration process,"No separate periodic penalty; incorrect profile data can block KYC, transfer or claim processing.",ESIC / EPF Code,New
IN-EPF-EMPLOYER-PROFILE-CORRECTION,PF and ESIC,LABOUR,EPF establishment / employer profile — correction,Employer Portal,Event-based — update when establishment particulars change or an error is identified,"EPF Scheme, 1952 and EPFO employer portal requirements",Interest at the statutory rate under the ESI Act / Regulations and damages under Regulation 31C based on the duration of default; retain the default-period slab rather than a single flat penalty.,ESIC / EPF Code,New
IN-ESIC-CONTRIBUTION-PAYMENT,PF and ESIC,LABOUR,ESIC contribution — monthly payment,Online Challan / Payment,"Monthly — 1 month, up to day 15 of that month after end of the period","Regulation 31 ESI (General) Regulations, 1950",Interest at 12% a year plus damages up to 25% of the arrears.,ESIC / EPF Code,Existing
IN-PT-GENERIC-MONTHLY-PAYMENT,Professional tax,LABOUR,Professional tax — monthly payment,State PT challan / e-payment,"State-specific — due date varies by the applicable State / local professional-tax law, registration type and periodicity",Applicable State / local Professional Tax Act and Rules,"State-specific interest, late fee and penalty apply for delayed payment / return.",,New
IN-PT-GENERIC-QUARTERLY-PAYMENT,Professional tax,LABOUR,Professional tax — quarterly payment,State PT challan,"State-specific — due date varies by the applicable State / local professional-tax law, registration type and periodicity",Applicable State / local Professional Tax Act and Rules,"State-specific interest, late fee and penalty apply for delayed payment / return.",,New
IN-PT-GENERIC-MONTHLY-RETURN,Professional tax,LABOUR,Professional tax — monthly employer return,State-specific PT return,"State-specific — due date varies by the applicable State / local professional-tax law, registration type and periodicity",Applicable State / local Professional Tax Act and Rules,"State-specific interest, late fee and penalty apply for delayed payment / return.",,New
IN-PT-GENERIC-QUARTERLY-RETURN,Professional tax,LABOUR,Professional tax — quarterly employer return,State-specific PT return,"State-specific — due date varies by the applicable State / local professional-tax law, registration type and periodicity",Applicable State / local Professional Tax Act and Rules,"State-specific interest, late fee and penalty apply for delayed payment / return.",,New
IN-PT-GENERIC-ANNUAL-RETURN,Professional tax,LABOUR,Professional tax — annual employer return,State-specific annual return,"State-specific — due date varies by the applicable State / local professional-tax law, registration type and periodicity",Applicable State / local Professional Tax Act and Rules,"State-specific interest, late fee and penalty apply for delayed payment / return.",,New
IN-IT-ITR7,Income tax,TAX_DIRECT,Income tax return — person / institution filing ITR-7,ITR-7,Annual — statutory due date depends on the category and audit requirement; file by the applicable due date under Section 139(1),"Section 139(1) r/w Sections 139(4A) to 139(4D), Income-tax Act","Late filing can attract fee, interest and restrictions on carry-forward / exemption claims, as applicable.",PAN,New
IN-IT-ITR5,Income tax,TAX_DIRECT,Income tax return — LLP / firm (ITR-5),ITR-5,Annual — due date depends on audit applicability and the relevant tax period. Do not derive the product deadline from a fixed month-offset alone.,Section 139(1) Income-tax Act,"Late filing can attract fee under Section 234F, interest and loss-related consequences.",PAN,Existing
IN-IT-ITR3-ITR4,Income tax,TAX_DIRECT,"Income tax return — individual / HUF using ITR-3 or ITR-4, as applicable",ITR-3 / ITR-4,Annual — non-audit and audit cases have different statutory due dates; the product must determine audit applicability and tax period before generating the deadline.,Section 139(1) Income-tax Act,"Late filing can attract fee under Section 234F, interest and restrictions on carry-forward of certain losses.",PAN,New
IN-IT-REVISED-RETURN,Income tax,TAX_DIRECT,Revised return of income,Revised applicable ITR,Correction — use the revised-return deadline applicable to the relevant assessment/tax year under the governing Act and current Finance Act amendments. Do not hard-code 31 December across years.,Section 139(5) Income-tax Act,No separate penalty merely for a valid revision; interest / tax consequences continue to apply to the corrected return.,PAN,New
IN-IT-ITRU,Income tax,TAX_DIRECT,Updated return of income,ITR-U,"Event-based — may be filed within the statutory updated-return window, currently extending up to 48 months from the end of the relevant assessment year, subject to eligibility",Section 139(8A) Income-tax Act r/w applicable updated-return provisions,Additional income-tax is payable at the prescribed rate; eligibility restrictions apply.,PAN,New
IN-IT-BELATED-RETURN,Income tax,TAX_DIRECT,Belated return of income,Applicable ITR,Annual / late filing — use the belated-return deadline applicable to the relevant assessment/tax year under the governing Act and current Finance Act amendments. Do not hard-code 31 December across years.,Section 139(4) Income-tax Act,"Late filing fee, interest and restrictions on carry-forward of certain losses may apply.",PAN,New
IN-IT-SELF-ASSESSMENT-TAX,Income tax,TAX_DIRECT,Self-assessment tax payment,e-Pay Tax / applicable challan,"Event-based — pay tax, interest and fee due before furnishing the return of income",Section 140A Income-tax Act,Interest and other return-filing consequences may continue until outstanding tax is paid.,PAN,New
IN-IT-TAX-PAYMENT,Income tax,TAX_DIRECT,Income-tax payment — demand / regular tax / other payment,e-Pay Tax / applicable challan,"Event-based — by the due date stated in the applicable demand, order or statutory provision",Income-tax Act and applicable demand / payment provision,"Interest, recovery action and other consequences depend on the underlying tax liability.",PAN,New
IN-IT-TAX-AUDIT-3CA,Income tax,TAX_DIRECT,Tax audit report — Form 3CA,Form 3CA,"Annual — 6 months, up to day 30 of that month after end of the period",Section 44AB Income-tax Act r/w Rule 6G,"0.5% of turnover, capped at ₹1,50,000, under Section 271B.",PAN,Existing
IN-IT-TAX-AUDIT-3CB,Income tax,TAX_DIRECT,Tax audit report — Form 3CB,Form 3CB,"Annual — 6 months, up to day 30 of that month after end of the period",Section 44AB Income-tax Act r/w Rule 6G,"0.5% of turnover, capped at ₹1,50,000, under Section 271B.",PAN,Existing
IN-IT-TP-DOCUMENTATION,Income tax,TAX_DIRECT,Transfer-pricing documentation — contemporaneous records,Rule 10D documentation,Annual / ongoing — maintain contemporaneous documentation by the return / report due date and retain it for the prescribed period,Section 92D Income-tax Act r/w Rule 10D Income-tax Rules,Failure to maintain / furnish prescribed information can attract transfer-pricing penalties.,PAN,New
IN-IT-FORM3CEAA,Income tax,TAX_DIRECT,Master File — furnishing prescribed information,Form 3CEAA,"Annual — furnish by the prescribed due date for the relevant previous year, generally aligned to the transfer-pricing return cycle",Section 92D Income-tax Act r/w Rule 10DA Income-tax Rules,Non-furnishing / incorrect furnishing can attract prescribed transfer-pricing penalties.,PAN,New
IN-IT-FORM3CEAB,Income tax,TAX_DIRECT,Master File — designated constituent entity intimation,Form 3CEAB,"Annual / event-based — where applicable, furnish the designated-entity intimation within the prescribed period before the Master File due date",Rule 10DA Income-tax Rules,Non-compliance can attract penalties applicable to Master File reporting.,PAN,New
IN-IT-FORM3CEAC,Income tax,TAX_DIRECT,Country-by-Country reporting — constituent entity notification,Form 3CEAC,"Annual — furnish the notification within the prescribed period before the CbCR due date, where applicable",Section 286 Income-tax Act r/w Rule 10DB Income-tax Rules,Failure to furnish prescribed CbCR information can attract daily / fixed penalties under Section 271GB.,PAN,New
IN-IT-FORM3CEAD,Income tax,TAX_DIRECT,Country-by-Country Report,Form 3CEAD,"Annual — generally within 12 months from the end of the reporting accounting year, subject to the applicable CbCR rules",Section 286 Income-tax Act r/w Rule 10DB Income-tax Rules,Failure to furnish or inaccurate furnishing can attract penalties under Section 271GB.,PAN,New
IN-TDS-26QB,TDS,TAX_DIRECT,TDS on transfer of immovable property — challan-cum-statement,Form 26QB,Event-based / monthly — furnish within 30 days from the end of the month in which tax is deducted,Applicable TDS provision of the Income-tax Act r/w Rule 30 / prescribed Form 26QB rules,Interest for delayed deduction / deposit and late-filing fee or penalty may apply.,PAN,New
IN-TDS-26QC,TDS,TAX_DIRECT,TDS on rent by specified individual / HUF — challan-cum-statement,Form 26QC,Event-based / monthly — furnish within 30 days from the end of the month in which tax is deducted,Applicable TDS provision of the Income-tax Act r/w Rule 30 / prescribed Form 26QC rules,Interest for delayed deduction / deposit and late-filing fee or penalty may apply.,PAN,New
IN-TDS-26QD,TDS,TAX_DIRECT,TDS on specified payments by individual / HUF — challan-cum-statement,Form 26QD,Event-based / monthly — furnish within 30 days from the end of the month in which tax is deducted,Applicable TDS provision of the Income-tax Act r/w Rule 30 / prescribed Form 26QD rules,Interest for delayed deduction / deposit and late-filing fee or penalty may apply.,PAN,New
IN-TDS-26QE,TDS,TAX_DIRECT,TDS on virtual digital asset by specified person — challan-cum-statement,Form 26QE,Event-based / monthly — furnish within 30 days from the end of the month in which tax is deducted,Applicable TDS provision of the Income-tax Act r/w Rule 30 / prescribed Form 26QE rules,Interest for delayed deduction / deposit and late-filing fee or penalty may apply.,PAN,New
IN-TDS-CORRECTION,TDS,TAX_DIRECT,TDS / TCS correction statement,Correction statement / return,Event-based — file promptly after identifying an error or receiving a default / mismatch; no single universal periodic due date,Section 200(3) / 206C and applicable TDS/TCS statement rules,"Uncorrected defaults can continue to generate fee, interest, demand and penalty exposure.",PAN,New
IN-TDS-TRACES-DEFAULT,TDS,TAX_DIRECT,TRACES default / demand — review and response,TRACES default / demand,Internal control — no statutory quarterly due date. Reconcile Form 26AS / AIS / TRACES as part of periodic tax-control and before filing/response actions.,"Sections 200A, 201 and related TDS provisions of the Income-tax Act","Interest, fee, demand recovery and penalty may continue until the default is resolved.",PAN,New
IN-IT-AIS-REVIEW,Income tax,TAX_DIRECT,Annual Information Statement — review / feedback,AIS,Annual / periodic review — no standalone filing due date; reconcile before filing the return and submit feedback when needed,Income-tax Department information-reporting framework,No separate penalty for reviewing AIS; unresolved mismatches may affect return processing / assessment.,PAN,New
IN-IT-TIS-REVIEW,Income tax,TAX_DIRECT,Taxpayer Information Summary — review,TIS,Annual / periodic review — no standalone filing due date; reconcile before filing the return,Income-tax Department AIS / TIS framework,No standalone filing penalty.,PAN,New
IN-IT-PAN-AADHAAR,Income tax,TAX_DIRECT,"PAN / Aadhaar — applicable linking, verification and update compliance",Applicable PAN / Aadhaar form or portal process,Event-based / notification-based — follow the deadline prescribed for the specific PAN / Aadhaar requirement,Income-tax Act / Rules and applicable CBDT notification,"Consequences vary by requirement and can include inoperative PAN, higher TDS/TCS or prescribed fee.",PAN,New
IN-IT-NONRESIDENT-PE,Income tax,TAX_DIRECT,Non-resident / permanent-establishment tax compliance,"Applicable return, withholding, declarations and transfer-pricing records","Case-specific — due dates depend on the return, withholding, transfer-pricing and treaty obligations triggered","Income-tax Act, applicable tax treaty and Income-tax Rules","Tax, interest, withholding and penalty consequences depend on the specific non-resident obligation.",PAN,New
IN-IT-TRC,Income tax,TAX_DIRECT,Tax residency certificate — obtain / furnish for treaty claim,"TRC / Form 10FA / Form 10FB, where applicable",Annual / event-based — obtain and keep available before claiming treaty benefits for the relevant period,Section 90(4) Income-tax Act r/w applicable rules,Treaty benefit may be denied if required residency evidence is not furnished.,PAN,New
IN-IT-FORM10F,Income tax,TAX_DIRECT,Form 10F — treaty information by non-resident,Form 10F,"Annual / event-based — furnish electronically before / when treaty benefit is claimed, where required",Section 90(5) Income-tax Act r/w Rule 21AB Income-tax Rules,Treaty benefit may be denied if required information is not furnished.,PAN,New
IN-IT-EQUALISATION-LEVY-LEGACY,Income tax,TAX_DIRECT,Equalisation levy — legacy compliance,"Historical statement / payment, where applicable",Legacy — retain only for historical periods for which equalisation levy was applicable; current-period applicability has been withdrawn,"Finance Act, 2016 equalisation-levy provisions, as amended / withdrawn",Historical defaults may continue to carry interest and penalty consequences.,PAN,New
IN-IT-FORM10A,Income tax,TAX_DIRECT,Trust / institution registration or revalidation — Form 10A,Form 10A,Event-based — file within the statutory registration / revalidation window applicable to the entity,"Sections 12A / 12AB / 80G and Rule 17A Income-tax Rules, as applicable","Delay or non-filing can affect registration, exemption or deduction eligibility.",PAN,New
IN-IT-FORM10AB,Income tax,TAX_DIRECT,Trust / institution registration / conversion / renewal — Form 10AB,Form 10AB,"Event-based — file within the statutory period applicable to provisional registration, renewal, conversion or change in objects","Sections 12A / 12AB / 80G and Rule 17A Income-tax Rules, as applicable","Delay or non-filing can affect registration, exemption or deduction eligibility.",PAN,New
IN-IT-FORM10,Income tax,TAX_DIRECT,Form 10 — statement for accumulation / setting apart of income,Form 10,"Annual — furnish within the prescribed time, generally at least two months before the return due date for the relevant year",Section 11(2) Income-tax Act r/w Rule 17 Income-tax Rules,Late or invalid furnishing can jeopardise the accumulation benefit.,PAN,New
IN-IT-FORM10BD,Income tax,TAX_DIRECT,Form 10BD — statement of donations,Form 10BD,Annual — by 31 May following the end of the financial year,"Section 80G / Section 35 and Rule 18AB Income-tax Rules, as applicable",Late filing fee and penalty may apply for failure or delay in furnishing the prescribed donation statement.,PAN,New
IN-IT-FORM10BE,Income tax,TAX_DIRECT,Form 10BE — donation certificate,Form 10BE,Annual — issue by 31 May following the end of the financial year,Rule 18AB Income-tax Rules,Failure to issue prescribed certificates can attract applicable fee / penalty consequences.,PAN,New
IN-IT-EXEMPTION-APPLICATIONS,Income tax,TAX_DIRECT,Income-tax exemption / deduction applications — prescribed forms,Applicable prescribed forms,Case-specific — due date depends on the exemption / deduction provision and prescribed form,Income-tax Act and Rules applicable to the specific exemption / deduction,Consequences depend on the underlying claim and can include denial of exemption / deduction and prescribed penalty.,PAN,New
IN-IT-FORM29C,Income tax,TAX_DIRECT,Form 29C — alternate minimum tax report,Form 29C,Annual — obtain and furnish by the applicable return-filing due date,Section 115JC / 115JC-related provisions r/w Rule 40BA Income-tax Rules,Failure to furnish the required report can affect the AMT computation and attract applicable penalty.,PAN,New
IN-GST-REG01,GST,TAX_INDIRECT,GST registration — application,REG-01,Event-based — generally within 30 days from the date a person becomes liable for registration; special rules apply to casual / non-resident taxable persons,"Section 25 CGST Act, 2017 r/w Rule 8 CGST Rules, 2017","Failure to register when liable can attract tax, interest and penalty under the CGST Act.",GSTN,New
IN-GST-REG14,GST,TAX_INDIRECT,GST registration — amendment of particulars,REG-14,Event-based — generally within 15 days of the change in registration particulars,"Rule 19 CGST Rules, 2017",Failure to update registration particulars can attract general penalty and compliance restrictions.,GSTN,New
IN-GST-REG16,GST,TAX_INDIRECT,GST registration — application for cancellation,REG-16,"Event-based — file within the prescribed period after the event warranting cancellation, where the taxpayer is required / eligible to apply","Section 29 CGST Act, 2017 r/w Rule 20 CGST Rules, 2017","Continued non-compliance can lead to suo-motu cancellation, tax / return liabilities and penalties.",GSTN,New
IN-GST-GSTR1A,GST,TAX_INDIRECT,GSTR-1A — optional amendment / additional outward-supply details for the same tax period,GSTR-1A,Monthly / quarterly — available after GSTR-1 and before filing GSTR-3B for the same tax period; no separate later statutory due date,"Section 37 CGST Act, 2017 r/w Rule 59 CGST Rules and applicable GSTR-1A procedure","No separate penalty for not using the optional form; omitted / incorrect liability can affect GSTR-3B, interest and downstream reporting.",GSTN,New
IN-GST-GSTR10,GST,TAX_INDIRECT,GSTR-10 — final return after cancellation,GSTR-10,"Event-based — within three months of the effective date of cancellation or the date of the cancellation order, whichever is later","Section 45 CGST Act, 2017 r/w Rule 81 CGST Rules, 2017",Late fee applies for delayed filing and outstanding tax / interest remains payable.,GSTN,New
IN-GST-GSTR11,GST,TAX_INDIRECT,GSTR-11 — statement of inward supplies by UIN holder,GSTR-11,Monthly / event-based — generally by the 28th of the month following the month in which inward supplies are received,"Rule 82 CGST Rules, 2017",Refund processing may be delayed and other consequences can follow from non-compliance.,GSTN,New
